央视频道,#genre#
黑龙江卫视 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227197/index.m3u8
内蒙古卫视 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225846/index.m3u8
内蒙古卫视 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227244/index.m3u8
宁夏卫视 4M576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225849/index.m3u8
宁夏卫视 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227254/index.m3u8
山西卫视 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225839/index.m3u8
山西卫视 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227258/index.m3u8
新疆卫视 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225852/index.m3u8
新疆卫视 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227248/index.m3u8
西藏卫视 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226847/index.m3u8
西藏卫视 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227217/index.m3u8
陕西卫视 4M576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225850/index.m3u8
陕西卫视 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227221/index.m3u8
四川康巴卫视 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225856/index.m3u8
山东教育卫视 4M576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225873/index.m3u8
广东大湾区卫视 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227214/index.m3u8
新疆兵团卫视 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227168/index.m3u8
海南三沙卫视 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227172/index.m3u8


福建频道,#genre#
东南卫视,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227156/index.m3u8
东南卫视 rtsp://183.252.176.54/PLTV/88888888/224/3221226121/10000100000000060000000002358085_0.smil
福建乡村振兴公共,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227153/index.m3u8
福建少儿,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227194/index.m3u8
福建教育,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227202/index.m3u8
福建教育,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226981/index.m3u8
福建体育,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227188/index.m3u8
福建新闻,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227180/index.m3u8
福建旅游,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227190/index.m3u8
福建电视剧,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227079/index.m3u8
福建经济,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227184/index.m3u8
福建综合,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227149/index.m3u8
福建乡村振兴公共,rtsp://183.252.166.199/PLTV/88888888/224/3221226113/10000100000000060000000002358064_0.smil
福建体育,rtsp://183.252.166.199/PLTV/88888888/224/3221226127/10000100000000060000000002434540_0.smil
福建少儿,rtsp://183.252.166.199/PLTV/88888888/224/3221226120/10000100000000060000000002358082_0.smil
福建新闻,rtsp://183.252.166.199/PLTV/88888888/224/3221226116/10000100000000060000000002358068_0.smil
福建旅游,rtsp://183.252.166.199/PLTV/88888888/224/3221226125/10000100000000060000000002358191_0.smil
福建电视剧,rtsp://183.252.166.199/PLTV/88888888/224/3221226115/10000100000000060000000002358067_0.smil
福建经济,rtsp://183.252.166.199/PLTV/88888888/224/3221226117/10000100000000060000000002358072_0.smil
福建综合,rtsp://183.252.166.199/PLTV/88888888/224/3221226826/47882539.smil
厦门卫视 3.5M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226781/index.m3u8
厦门1 7M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227185/index.m3u8
厦门1 3.5M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226814/index.m3u8
厦门2 3.5M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226777/index.m3u8
厦门3 3.5M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226760/index.m3u8
福州1 7M1080,rtsp://183.252.176.54/PLTV/88888888/224/3221226720/45553071.smil
南平1 8M1080,rtsp://183.252.176.54/PLTV/88888888/224/3221226772/47387629.smil
南平2 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226956/index.m3u8
宁德新闻综合 rtsp://183.252.176.54/PLTV/88888888/224/3221226768/46971866.smil
龙岩综合 8M1080,rtsp://183.252.176.54/PLTV/88888888/224/3221226782/45553545.smil
三明1 576,rtsp://183.252.176.54/PLTV/88888888/224/3221226769/46558552.smil
平潭综合 576,rtsp://183.252.176.54/PLTV/88888888/224/3221226735/45469664.smil
泉州1 576,rtsp://183.252.176.54/PLTV/88888888/224/3221226810/46680493.smil
漳州1 576,rtsp://183.252.176.54/PLTV/88888888/224/3221226728/45553461.smil
莆田1 576,rtsp://183.252.176.54/PLTV/88888888/224/3221226724/45553236.smil

黑莓频道,#genre#
黑莓动画 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225878/index.m3u8
黑莓电影 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225891/index.m3u8

NewTV频道,#genre#
NewTV中国功夫 2.5M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225896/index.m3u8
NewTV军事评论 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225890/index.m3u8
NewTV军旅剧场 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225887/index.m3u8
NewTV动作电影 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225879/index.m3u8
NewTV古装剧场 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225880/index.m3u8
NewTV家庭剧场 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225882/index.m3u8
NewTV怡伴健康 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225883/index.m3u8
NewTV惊悚悬疑 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225885/index.m3u8
NewTV武搏世界 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225895/index.m3u8
NewTV海外剧场 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225881/index.m3u8
NewTV潮妈辣婆 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226107/index.m3u8
NewTV炫舞未来 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226699/index.m3u8
NewTV精品体育 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225886/index.m3u8
NewTV精品大剧 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225889/index.m3u8
NewTV精品纪录 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225888/index.m3u8
NewTV金牌综艺 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225884/index.m3u8
NewTV精品萌宠 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227183/index.m3u8

SiTV频道,#genre#
SiTV动漫秀场 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227071/index.m3u8
SiTV欢笑剧场 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227145/index.m3u8
SiTV游戏风云 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227075/index.m3u8
SiTV东方财经 7M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227087/index.m3u8
SiTV金色学堂 7M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227208/index.m3u8
SiTV生活时尚 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227091/index.m3u8
SiTV都市剧场 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227204/index.m3u8

纪实频道,#genre#
上海纪实人文 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225946/index.m3u8
上海纪实人文 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227213/index.m3u8
北京纪实科教 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225944/index.m3u8
湖南金鹰纪实 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226975/index.m3u8
湖南金鹰纪实 7M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226937/index.m3u8
湖南金鹰卡通 7M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227018/index.m3u8

天气教育,#genre#
中国天气 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227210/index.m3u8
中国教育1 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225869/index.m3u8
中国教育2 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227206/index.m3u8
中国教育4 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227192/index.m3u8
中国教育4 4M576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227050/index.m3u8
